fold,model,subset_accuracy,number_level_accuracy,avg_hit,precision_at_6,recall_at_6,brier_score
17,random_baseline,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,
17,logistic_regression,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,0.2791452740337825
17,soft_voting_ensemble,0.0,0.7837037037037037,1.1333333333333333,0.18888888888888888,0.18888888888888888,0.18080738422322176
18,freq_heuristic,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,
18,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,
18,random_baseline,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
18,logistic_regression,0.0,0.7762962962962963,0.9666666666666667,0.16111111111111112,0.16111111111111112,0.28016633728434825
18,soft_voting_ensemble,0.0,0.7792592592592592,1.0333333333333334,0.17222222222222225,0.17222222222222225,0.19485558501021566
19,freq_heuristic,0.0,0.762962962962963,0.6666666666666666,0.1111111111111111,0.1111111111111111,
19,gap_heuristic,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
19,random_baseline,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
19,logistic_regression,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.287986866994355
19,soft_voting_ensemble,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,0.19833455215475237
